ids,Price,version,borough,add_info,date_scraped
14520525,550000.0,v0021_300622,"('Westminster', '5E93980')","Added on 24/05/2022 by Arlington Estates, London",2022-07-06 19:13:02
27953107,400000.0,v0021_300622,"('Hillingdon', '5E93959')","Added on 16/06/2022 by Lawlors Estate Agents, Hayes",2022-08-14 10:33:29
33593487,579950.0,v0021_300622,"('Richmond upon Thames', '5E61415')","Added on 11/07/2022 by Websters Estate Agents, Twickenham",2022-07-16 13:58:28
35271294,370000.0,v0021_300622,"('Lambeth', '5E93971')","Added on 14/06/2021 by Griffin Property Co., Westcliff-on-Sea",2022-07-10 18:02:16
35429088,599950.0,v0021_300622,"('Haringey', '5E61227')","Added on 14/07/2015 by Kinleigh Folkard & Hayward - Sales, Highgate",2022-08-16 16:23:41
44749111,475000.0,v0021_300622,"('Sutton', '5E93974')","Added on 11/10/2021 by Connor Prince, Worcester Park",2022-08-18 21:54:18
45126814,POA,v0021_300622,"('Newham', '5E61231')","Reduced on 16/09/2021 by Marvel & Co, Forest Gate",2022-08-15 19:55:06
46204665,435000.0,v0021_300622,"('Brent', '5E93935')","Reduced on 08/10/2018 by Warwick Estate Agents, London",2022-08-10 15:44:56
49020666,200000.0,v0021_300622,"('Ealing', '5E93947')","Added on 11/10/2021 by Brian Cox, Northolt",2022-07-30 23:32:00
49036279,275000.0,v0021_300622,"('Newham', '5E61231')","Reduced on 16/09/2021 by Marvel & Co, Forest Gate",2022-08-15 19:55:06
49303873,450000.0,v0021_300622,"('Havering', '5E61228')","Added on 28/03/2022 by MS Estates, Essex",2022-08-14 08:36:54
50134461,275000.0,v0021_300622,"('Hounslow', '5E93962')","Added on 23/08/2017 by Monarch Residential, Isleworth",2022-08-07 22:29:45
50135055,265000.0,v0021_300622,"('Hounslow', '5E93962')","Added on 23/08/2017 by Monarch Residential, Isleworth",2022-08-07 22:30:10
50135445,270000.0,v0021_300622,"('Hounslow', '5E93962')","Added on 23/08/2017 by Monarch Residential, Isleworth",2022-08-07 22:29:30
52064391,349950.0,v0021_300622,"('Hounslow', '5E93962')","Added on 14/12/2017 by Monarch Residential, Isleworth",2022-08-10 15:15:58
52187854,450000.0,v0021_300622,"('Westminster', '5E93980')","Reduced on 06/06/2022 by Westways, London",2022-08-18 16:12:48
52675628,490000.0,v0021_300622,"('Newham', '5E61231')","Added on 30/11/2016 by Residential London, London",2022-07-16 10:48:34
52845963,200000.0,v0021_300622,"('Croydon', '5E93944')","Reduced on 23/01/2019 by Homecastle Estate Agents, South Norwood",2022-08-07 22:25:40
52913496,220000.0,v0021_300622,"('Ealing', '5E93947')","Reduced on 09/03/2022 by Brian Cox, Northolt",2022-07-30 23:43:38
53171204,450000.0,v0021_300622,"('Southwark', '5E61518')","Reduced on 14/08/2015 by Kinleigh Folkard & Hayward - Sales, London Bridge",2022-08-18 20:55:51
